case,iteration,prompt_tokens,completion_tokens,ttft_ms,total_ms
stream-parity,0,20,5,,2898.927
stream-parity,1,20,5,2285.954,2581.886
thinking-none,0,23,33,,4678.074
thinking-none,1,23,33,2341.387,4565.775
thinking-high,0,63,55,,6520.376
thinking-high,1,63,55,2322.695,6077.927
tool-call,0,276,27,,4764.623
tool-call,1,276,27,2930.213,4333.223
prompt-13,3,13,7,2296.772,2652.73
prompt-13,4,13,7,2283.94,2661.503
prompt-13,5,13,7,2317.599,2670.383
prompt-13,6,13,7,2302.727,2663.924
prompt-13,7,13,7,2267.001,2640.685
prompt-13,8,13,7,2289.341,2648.799
prompt-13,9,13,7,2290.96,2654.61
prompt-13,10,13,7,2299.238,2657.541
prompt-13,11,13,7,2295.892,2659.62
prompt-13,12,13,7,2313.552,2680.401
prompt-128,3,128,7,2278.388,2649.974
prompt-128,4,128,7,2349.216,2698.505
prompt-128,5,128,7,2351.653,2713.499
prompt-128,6,128,7,2333.171,2703.676
prompt-128,7,128,7,2308.022,2658.992
prompt-128,8,128,7,2321.719,2677.317
prompt-128,9,128,7,2319.542,2678.047
prompt-128,10,128,7,2308.569,2660.699
prompt-128,11,128,7,2342.468,2692.71
prompt-128,12,128,7,2347.565,2714.748
prompt-2048,3,2048,7,3446.93,3803.473
prompt-2048,4,2048,7,3436.568,3791.159
prompt-2048,5,2048,7,3392.053,3767.165
prompt-2048,6,2048,7,3510.656,3858.404
prompt-2048,7,2048,7,3422.883,3776.705
prompt-2048,8,2048,7,3432.337,3800.136
prompt-2048,9,2048,7,3440.06,3810.898
prompt-2048,10,2048,7,3498.928,3853.782
prompt-2048,11,2048,7,3454.618,3816.119
prompt-2048,12,2048,7,3429.46,3795.333
prompt-8176,3,8176,7,7306.092,7660.686
prompt-8176,4,8176,7,7314.049,7669.198
prompt-8176,5,8176,7,7305.228,7675.648
prompt-8176,6,8176,7,7318.693,7676.416
prompt-8176,7,8176,7,7282.962,7642.185
prompt-8176,8,8176,7,7161.111,7531.354
