elapsed_s,gpu_memory_mib,wsl_rss_kib,wsl_rss_source,wsl_swap_kib,minor_faults,major_faults,fault_processes,pcie_rx_mib_s,pcie_tx_mib_s
1.282,29557.0,74199356,WSL MemTotal-MemAvailable fallback,0,19038232,6945,4,,
2.317,29558.0,74212192,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
3.357,29558.0,74229344,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
4.389,29558.0,74228268,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
5.421,29559.0,74212364,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
6.459,29559.0,74226912,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
7.49,29559.0,74218580,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
8.529,29560.0,74181596,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
9.562,29559.0,74209420,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
10.595,29560.0,74216332,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
11.627,29560.0,74213284,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
12.662,29560.0,74209868,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
13.695,29560.0,74188748,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
14.732,29560.0,74212492,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
15.762,29560.0,74216512,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
16.799,29561.0,74117252,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
17.835,29560.0,74115900,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
18.869,29561.0,74108712,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
19.899,29561.0,74116268,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
20.938,29561.0,74121988,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
21.97,29561.0,74119976,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
23.003,29561.0,74112368,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
24.045,29562.0,74128184,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
25.081,29562.0,74112692,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
26.124,29562.0,74110616,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
27.159,29562.0,74132580,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
28.19,29564.0,74114476,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
29.221,29564.0,74098880,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
30.255,29561.0,74127620,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
31.29,29562.0,74112056,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
32.327,29562.0,74092024,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
33.367,29562.0,74118412,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
34.402,29562.0,74097264,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
35.439,29562.0,74120696,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
36.47,29562.0,74112816,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
37.502,29563.0,74109724,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
38.537,29563.0,74108420,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
39.571,29563.0,74118004,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
40.608,29563.0,74116476,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
41.644,29563.0,74125820,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
42.677,29563.0,74110392,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
43.711,29564.0,74117824,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
44.745,29564.0,74116572,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
45.778,29564.0,74115092,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
46.811,29564.0,74117572,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
47.843,29565.0,74106904,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
48.877,29565.0,74119456,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
49.913,29565.0,74117276,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
50.948,29565.0,74112544,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
51.98,29565.0,74118636,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
53.013,29566.0,74089536,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
54.045,29566.0,74109548,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
55.077,29560.0,74123988,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
56.108,29560.0,74114240,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
57.146,29566.0,74124360,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
58.183,29566.0,74127072,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
59.217,29566.0,74113412,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
60.248,29566.0,74111724,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
61.28,29567.0,74115444,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
62.312,29567.0,74118104,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
63.347,29567.0,74119464,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
64.38,29568.0,74125884,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
65.413,29568.0,74125328,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
66.445,29568.0,74142136,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
67.479,29569.0,74147836,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
68.511,29569.0,74123300,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
69.543,29569.0,74123932,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
70.576,29569.0,74140532,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
71.61,29569.0,74130920,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
72.645,29576.0,74124968,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
73.682,29578.0,74116132,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
74.715,29577.0,74128420,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
75.748,29575.0,74130516,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
76.78,29575.0,74196644,WSL MemTotal-MemAvailable fallback,0,19038310,6945,4,,
77.856,29576.0,74451696,WSL MemTotal-MemAvailable fallback,0,19038311,6945,4,,
78.911,29575.0,74535568,WSL MemTotal-MemAvailable fallback,0,19038314,6945,4,,
79.959,29569.0,74597816,WSL MemTotal-MemAvailable fallback,0,19038318,6945,4,,
81.006,29570.0,74659112,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
82.037,29570.0,74684112,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
83.069,30205.0,75181660,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
84.105,30217.0,75534524,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
85.133,31360.0,75718632,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
86.168,31360.0,75888192,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
87.197,31367.0,75917328,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
88.237,31367.0,75928120,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
89.274,31367.0,75941776,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
90.307,31367.0,75940328,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
91.341,31367.0,75940596,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
92.377,30524.0,75942868,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
93.414,31374.0,76226752,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
94.45,30700.0,76511720,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
95.485,30700.0,77187860,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
96.517,30700.0,77945224,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
97.55,30700.0,78941420,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
98.581,30701.0,78944184,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
99.617,30701.0,78945016,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
100.648,30701.0,78940324,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
101.681,30701.0,78937428,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
102.712,30701.0,78939608,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
103.746,30702.0,78937144,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
104.778,30702.0,78939560,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
105.812,30702.0,78938856,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
106.843,30702.0,78943608,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
107.878,30702.0,78945156,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
108.91,30702.0,78944760,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
109.944,30702.0,78936984,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
110.979,30702.0,79542460,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
112.01,30701.0,80422588,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
113.041,30702.0,81347048,WSL MemTotal-MemAvailable fallback,0,19038321,6945,4,,
