case,iteration,prompt_tokens,completion_tokens,ttft_ms,total_ms
ple-cold,0,318,3,,72429.285
stream-parity,0,20,5,,1712.37
stream-parity,1,20,5,726.027,998.852
thinking-none,0,23,33,,4054.057
thinking-none,1,23,33,773.953,3021.109
thinking-high,0,63,55,,5802.373
thinking-high,1,63,55,1074.799,4928.112
tool-call,0,276,27,,5369.66
tool-call,1,276,27,2195.52,3596.293
prompt-13,3,13,7,616.27,972.087
prompt-13,4,13,7,612.428,968.698
prompt-13,5,13,7,610.404,969.963
prompt-13,6,13,7,597.873,948.079
prompt-13,7,13,7,606.25,950.833
prompt-13,8,13,7,608.927,954.078
prompt-13,9,13,7,602.004,946.436
prompt-13,10,13,7,602.849,966.077
prompt-13,11,13,7,602.875,951.639
prompt-13,12,13,7,600.891,956.767
prompt-128,3,128,7,909.911,1274.081
prompt-128,4,128,7,902.712,1267.996
prompt-128,5,128,7,893.165,1253.301
prompt-128,6,128,7,900.283,1256.885
prompt-128,7,128,7,899.643,1308.302
prompt-128,8,128,7,911.408,1264.992
prompt-128,9,128,7,901.673,1258.577
prompt-128,10,128,7,906.53,1269.376
prompt-128,11,128,7,898.487,1252.413
prompt-128,12,128,7,896.549,1253.086
prompt-2048,3,2048,7,4774.581,5130.571
prompt-2048,4,2048,7,4784.488,5147.201
prompt-2048,5,2048,7,4773.283,5150.501
prompt-2048,6,2048,7,4788.478,5163.112
prompt-2048,7,2048,7,4798.413,5165.688
prompt-2048,8,2048,7,4728.386,5085.521
prompt-2048,9,2048,7,4766.465,5129.273
prompt-2048,10,2048,7,4759.792,5107.742
prompt-2048,11,2048,7,4757.909,5127.197
prompt-2048,12,2048,7,4784.453,5162.236
regression-prompt-8176,3,8176,7,17208.019,17563.589
regression-prompt-8176,4,8176,7,17105.505,17474.773
regression-prompt-8176,5,8176,7,17334.411,17684.807
regression-prompt-8176,6,8176,7,17161.975,17522.02
regression-prompt-8176,7,8176,7,17210.576,17562.991
regression-prompt-8176,8,8176,7,17197.349,17570.15
regression-prompt-8176,9,8176,7,18094.192,18474.3
regression-prompt-8176,10,8176,7,18061.899,18440.278
regression-prompt-8176,11,8176,7,18094.499,18472.695
regression-prompt-8176,12,8176,7,18361.3,18731.456
steady-decode,0,18,256,751.529,20809.473
image-data-url,0,323,22,,4120.989
image-https,0,319,32,,8085.814
image-four,0,1231,2,,6219.795
image-stream-parity,0,323,22,,3843.644
image-stream-parity,1,323,22,3256.447,5282.06
image-ocr-quality,0,540,7,,3823.784
image-object-quality,0,412,3,,2449.679
image-chart-quality,0,410,2,,2328.203
image-thinking,0,451,360,,37013.903
image-tool-call,0,805,33,,7214.292
image-security-rejections,0,0,0,,4.799
prompt-8176,0,8176,10,20252.202,20943.923
prompt-32768,0,32768,11,76801.429,77582.902
prompt-131072,0,131072,12,287376.597,288200.802
prompt-261120,0,261120,12,565390.12,566226.731
boundary-text,0,261120,1024,565659.908,641094.477
boundary-image,0,261120,1024,575370.119,671917.494
context-length-rejection,0,261120,0,,255.774
stability,0,15,2,,788.868
stability,1,318,3,,2132.436
stability,2,15,2,,754.21
stability,3,318,3,,2095.547
stability,4,15,2,,766.973
stability,5,318,3,,2109.161
stability,6,15,2,,756.37
stability,7,318,3,,2090.48
stability,8,15,2,,788.398
stability,9,318,3,,2079.291
stability,10,15,2,,787.581
stability,11,318,3,,2117.643
stability,12,15,2,,761.282
stability,13,318,3,,2093.265
stability,14,15,2,,749.129
stability,15,318,3,,2060.961
stability,16,15,2,,773.001
stability,17,318,3,,2073.328
stability,18,15,2,,747.749
stability,19,318,3,,2055.957
stability,20,15,2,,761.137
stability,21,318,3,,2068.892
stability,22,15,2,,782.521
stability,23,318,3,,2081.44
stability,24,15,2,,761.81
stability,25,318,3,,2084.957
stability,26,15,2,,755.763
stability,27,318,3,,2090.523
stability,28,15,2,,749.299
stability,29,318,3,,2059.672
stability,30,15,2,,752.883
stability,31,318,3,,2094.84
stability,32,15,2,,765.011
stability,33,318,3,,2087.866
stability,34,15,2,,747.601
stability,35,318,3,,2055.601
stability,36,15,2,,768.364
stability,37,318,3,,2063.924
stability,38,15,2,,762.162
stability,39,318,3,,2078.253
stability,40,15,2,,743.45
stability,41,318,3,,2071.645
stability,42,15,2,,764.346
stability,43,318,3,,2072.045
stability,44,15,2,,762.796
stability,45,318,3,,2087.993
stability,46,15,2,,766.588
stability,47,318,3,,2072.119
stability,48,15,2,,752.434
stability,49,318,3,,2055.387
stability,50,15,2,,766.9
stability,51,318,3,,2052.211
stability,52,15,2,,766.961
stability,53,318,3,,2117.916
stability,54,15,2,,768.039
stability,55,318,3,,2104.566
stability,56,15,2,,780.629
stability,57,318,3,,2111.214
stability,58,15,2,,763.221
stability,59,318,3,,2078.756
stability,60,15,2,,750.019
stability,61,318,3,,2085.6
stability,62,15,2,,748.827
stability,63,318,3,,2062.012
stability,64,15,2,,775.521
stability,65,318,3,,2097.88
stability,66,15,2,,762.57
stability,67,318,3,,2076.558
stability,68,15,2,,771.556
stability,69,318,3,,2065.439
stability,70,15,2,,756.511
stability,71,318,3,,2067.25
stability,72,15,2,,747.974
stability,73,318,3,,2117.594
stability,74,15,2,,762.067
stability,75,318,3,,2120.722
stability,76,15,2,,754.968
stability,77,318,3,,2056.607
stability,78,15,2,,770.539
stability,79,318,3,,2057.558
stability,80,15,2,,749.973
stability,81,318,3,,2075.471
stability,82,15,2,,753.137
stability,83,318,3,,2067.728
stability,84,15,2,,790.277
stability,85,318,3,,2070.501
stability,86,15,2,,746.587
stability,87,318,3,,2092.086
stability,88,15,2,,746.24
