elapsed_s,gpu_memory_mib,wsl_rss_kib,wsl_rss_source,wsl_swap_kib,minor_faults,major_faults,fault_processes,pcie_rx_mib_s,pcie_tx_mib_s
1.664,30438.0,73673088,WSL MemTotal-MemAvailable fallback,0,18938039,1628,4,,
2.716,30437.0,73907472,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
3.755,30437.0,73893352,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
4.787,30437.0,73899988,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
5.824,30437.0,73893500,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
6.861,30437.0,73893108,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
7.901,30438.0,73897016,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
8.942,30438.0,73893936,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
9.983,30438.0,73899584,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
11.024,30438.0,73872796,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
12.063,30438.0,73894376,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
13.095,30438.0,73881444,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
14.131,30438.0,73858932,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
15.167,30438.0,73878908,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
16.207,30438.0,73877356,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
17.247,30438.0,73889580,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
18.281,30438.0,73893996,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
19.32,30438.0,73787184,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
20.362,30438.0,73786208,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
21.402,30438.0,73805000,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
22.443,30438.0,73802180,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
23.483,30438.0,73794840,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
24.523,30438.0,73772212,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
25.557,30438.0,73793092,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
26.594,30438.0,73788672,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
27.63,30438.0,73801292,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
28.677,30438.0,73798768,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
29.711,30438.0,73786660,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
30.746,30438.0,73788180,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
31.788,30438.0,73798860,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
32.825,30438.0,73795040,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
33.86,30438.0,73784520,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
34.894,30438.0,73798468,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
35.935,30438.0,73796212,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
36.969,30438.0,73808020,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
38.007,30438.0,73801640,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
39.042,30438.0,73801548,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
40.075,30438.0,73799400,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
41.108,30437.0,73805324,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
42.143,30437.0,73786432,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
43.181,30437.0,73796940,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
44.219,30437.0,73781756,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
45.263,30438.0,73790980,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
46.298,30438.0,73788992,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
47.334,30437.0,73792920,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
48.37,30437.0,73791420,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
49.406,30437.0,73790704,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
50.442,30437.0,73795020,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
51.477,30437.0,73787300,WSL MemTotal-MemAvailable fallback,0,19008942,1630,4,,
