case,iteration,prompt_tokens,completion_tokens,ttft_ms,total_ms
ple-cold,0,318,3,,67356.079
stream-parity,0,20,5,,1682.831
stream-parity,1,20,5,771.357,1068.691
thinking-none,0,23,33,,4002.333
thinking-none,1,23,33,807.432,3120.662
thinking-high,0,63,55,,6086.821
thinking-high,1,63,55,1091.223,4990.196
tool-call,0,276,27,,5267.736
tool-call,1,276,27,2304.691,3821.612
prompt-13,3,13,7,651.193,1008.282
prompt-13,4,13,7,637.202,1012.954
prompt-13,5,13,7,628.386,996.563
prompt-13,6,13,7,649.651,1049.643
prompt-13,7,13,7,654.911,1030.851
prompt-13,8,13,7,646.819,1028.257
prompt-13,9,13,7,647.513,1021.737
prompt-13,10,13,7,631.265,997.87
prompt-13,11,13,7,650.489,1027.993
prompt-13,12,13,7,654.255,1027.626
prompt-128,3,128,7,929.493,1286.858
prompt-128,4,128,7,929.18,1288.023
prompt-128,5,128,7,927.965,1307.936
prompt-128,6,128,7,928.557,1295.699
prompt-128,7,128,7,930.613,1303.193
prompt-128,8,128,7,930.831,1299.302
prompt-128,9,128,7,931.552,1313.63
prompt-128,10,128,7,946.379,1339.206
prompt-128,11,128,7,930.606,1304.341
prompt-128,12,128,7,933.962,1308.595
prompt-2048,3,2048,7,5006.118,5386.543
prompt-2048,4,2048,7,4969.547,5332.911
prompt-2048,5,2048,7,4983.291,5348.181
prompt-2048,6,2048,7,4985.406,5364.479
prompt-2048,7,2048,7,4993.929,5372.347
prompt-2048,8,2048,7,4979.809,5357.901
prompt-2048,9,2048,7,4974.119,5352.114
prompt-2048,10,2048,7,4946.602,5306.753
prompt-2048,11,2048,7,4949.51,5313.143
prompt-2048,12,2048,7,4985.581,5374.597
regression-prompt-8176,3,8176,7,18064.907,18439.505
regression-prompt-8176,4,8176,7,17947.545,18317.881
regression-prompt-8176,5,8176,7,18065.769,18457.127
regression-prompt-8176,6,8176,7,18051.059,18435.443
regression-prompt-8176,7,8176,7,18096.709,18463.158
regression-prompt-8176,8,8176,7,18023.861,18402.653
regression-prompt-8176,9,8176,7,18078.772,18453.473
regression-prompt-8176,10,8176,7,18118.484,18502.609
regression-prompt-8176,11,8176,7,18019.348,18398.765
regression-prompt-8176,12,8176,7,18114.284,18502.905
steady-decode,0,18,256,758.812,20467.414
image-data-url,0,323,22,,3977.362
image-https,0,319,32,,8418.569
image-four,0,1231,2,,6159.556
image-stream-parity,0,323,22,,3784.809
image-stream-parity,1,323,22,2938.394,4811.485
image-ocr-quality,0,540,7,,3626.328
image-object-quality,0,412,3,,2372.091
image-chart-quality,0,410,2,,2264.874
image-thinking,0,451,360,,35531.866
image-tool-call,0,805,33,,7146.697
image-security-rejections,0,0,0,,5.446
prompt-8176,0,8176,10,20081.151,20772.956
prompt-32768,0,32768,11,76203.621,76942.417
prompt-131072,0,131072,12,283916.133,284720.608
prompt-261120,0,261120,12,557350.588,558160.324
boundary-text,0,261120,1024,558557.546,633067.666
boundary-image,0,261120,1024,566371.294,658804.013
context-length-rejection,0,261120,0,,263.685
stability,0,15,2,,769.674
stability,1,318,3,,2037.388
stability,2,15,2,,743.878
stability,3,318,3,,2049.025
stability,4,15,2,,749.622
stability,5,318,3,,2054.892
stability,6,15,2,,745.747
stability,7,318,3,,2057.965
stability,8,15,2,,739.78
stability,9,318,3,,2045.475
stability,10,15,2,,748.599
stability,11,318,3,,2023.939
stability,12,15,2,,753.744
stability,13,318,3,,2036.525
stability,14,15,2,,747.555
stability,15,318,3,,2045.015
