elapsed_s,gpu_memory_mib,wsl_rss_kib,wsl_rss_source,wsl_swap_kib,minor_faults,major_faults,fault_processes,pcie_rx_mib_s,pcie_tx_mib_s
2.091,30488.0,73641212,WSL MemTotal-MemAvailable fallback,0,18917517,1158,4,,
3.126,30488.0,73876288,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
4.177,30488.0,73880896,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
5.246,30488.0,73893820,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
6.279,30488.0,73857984,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
7.341,30488.0,73878548,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
8.402,30488.0,73878896,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
9.462,30488.0,73878828,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
10.517,30488.0,73875504,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
11.577,30488.0,73877388,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
12.635,30487.0,73861916,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
13.685,30485.0,73881436,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
14.721,30485.0,73884700,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
15.764,30485.0,73882700,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
16.829,30486.0,73882512,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
17.885,30486.0,73876632,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
18.955,30486.0,73877668,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
20.015,30486.0,73874624,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
21.069,30486.0,73869420,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
22.114,30486.0,73874040,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
23.153,30486.0,73876904,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
24.214,30486.0,73877632,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
25.279,30486.0,73878340,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
26.328,30486.0,73850172,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
27.375,30486.0,73873664,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
28.443,30486.0,73868740,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
29.492,30486.0,73867184,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
30.534,30486.0,73871728,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
31.583,30487.0,73873460,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
32.624,30486.0,73874708,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
33.679,30486.0,73875728,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
34.728,30486.0,73868344,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
35.774,30486.0,73867704,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
36.83,30486.0,73869160,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
37.9,30486.0,73869464,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
38.97,30494.0,73867928,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
40.04,30493.0,73870480,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
41.103,30492.0,73867304,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
42.141,30489.0,73867488,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
43.18,30479.0,73779784,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
44.233,30478.0,73771128,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
45.285,30478.0,73764968,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
46.323,30478.0,73772324,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
47.36,30478.0,73771524,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
48.408,30490.0,73762228,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
49.443,30490.0,73783704,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
50.479,30488.0,73768148,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
51.526,30490.0,73778992,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
52.561,30490.0,73770352,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
53.6,30490.0,73770264,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
54.638,30490.0,73766236,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
55.673,30490.0,73766528,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
56.708,30489.0,73770320,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
57.747,30488.0,73779072,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
58.786,30489.0,73773912,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
59.823,30483.0,73767584,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
60.858,30483.0,73773052,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
61.9,30483.0,73766216,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
62.933,30483.0,73769120,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
63.972,30483.0,73776872,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
65.027,30483.0,73770552,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
66.063,30483.0,73772520,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
67.101,30483.0,73771876,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
68.141,30483.0,73768872,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
69.182,30483.0,73777672,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
70.224,30483.0,73770976,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
71.273,30494.0,73790856,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
72.31,30489.0,73785700,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
73.346,30489.0,73773192,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
74.385,30489.0,73766816,WSL MemTotal-MemAvailable fallback,0,18988486,1160,4,,
